mainlocation,neighborhood,frontage,purpose,streetwidth,size,Pricepm,land_price
الرياض,حي ظهرة لبن,شمال,سكني,20.0,727,1800,1308600
بريدة,حي مشعل,غرب,سكني,15.0,450,950,427500
الخبر,حي الحمرا,غرب,تجاري,100.0,1450,3500,5075000
الخبر,حي الحزام الاخضر,شرق,سكني,15.0,440,2700,1188000
بريدة,حي الرحاب,جنوب غربي,سكني أو تجاري,40.0,784,950,744800
الرياض,حي العارض,جنوب,تجاري,60.0,5973,2000,11946000
جدة,حي الريان,شرق,سكني,20.0,660,2300,1518000
سكاكا,حي مخطط كريم الدرزي,شمال,سكني,15.0,735,219,160965
الجموم,حي النسيم,غرب,تجاري,60.0,153500,195,29932500
المدينة المنورة,حي الخالدية,شمال غربي,تجاري,40.0,591,5076,2999916
بريدة,حي القصيعة,شرق,سكني,15.0,400,235,94000
الرياض,حي السلي,3 شوارع,تجاري,35.0,3200,1500,4800000
الرياض,حي اشبيلية,شمال غربي,سكني,20.0,743,2500,1857500
جدة,حي الزهراء,جنوب,سكني,15.0,600,5333,3199800
المدينة المنورة,حي الغابة,جنوب شرقي,تجاري,40.0,7322,1502,10997644
الرياض,حي الشرق,شمال,سكني,25.0,840,300,252000
الدمام,حي طيبة,شمال,تجاري,80.0,1818,2900,5272200
الرياض,حي السلي,شمال,تجاري,60.0,1800,1666,2998800
الرياض,حي القيروان,4 شوارع,تجاري,30.0,3000,2900,8700000
مكة المكرمة,حي الراشدية,جنوب,تجاري,100.0,12370,550,6803500
الرياض,حي النرجس,شرق,سكني,15.0,525,2200,1155000
الرياض,حي صلاح الدين,3 شوارع,تجاري,80.0,3250,10000,32500000
عرعر,حي الصالحية,جنوب,سكني,20.0,805,161,129605
بريدة,حي العريمضي,شرق,سكني أو تجاري,25.0,500,330,165000
جدة,حي الورود,غرب,سكني أو تجاري,55.0,4160,9500,39520000
المدينة المنورة,حي ابو بريقاء,شمال,تجاري,100.0,1640,4000,6560000
عنيزة,حي الصفا,شرق,سكني,30.0,450,333,149850
الرياض,حي النرجس,شرق,سكني,15.0,1050,2150,2257500
المدينة المنورة,حي السكب,جنوب,سكني,25.0,1000,1000,1000000
مكة المكرمة,حي العكيشية,شمال غربي,سكني,20.0,632,1000,632000
الرياض,حي المشاعل,3 شوارع,تجاري,30.0,7222,750,5416500
الدمام,حي الخليج,شمال غربي,سكني,20.0,325,2615,849875
الرياض,حي الغنامية,غرب,سكني,10.0,480,350,168000
الرياض,حي السلي,شمال,تجاري,60.0,3600,1660,5976000
خميس مشيط,حي الربيع,جنوب,سكني,25.0,750,466,349500
بريدة,حي الشقة,غرب,سكني,15.0,437,240,104880
المدينة المنورة,حي الجصة,غرب,سكني,20.0,889,101,89789
الرياض,حي بنبان,4 شوارع,سكني أو تجاري,100.0,2610000,350,913500000
سكاكا,حي مخطط المنح الخاصة,شمال غربي,سكني أو تجاري,30.0,720,236,169920
بريدة,حي خب الكيفة,شرق,سكني أو تجاري,30.0,639,350,223650
الدرعية,حي الدرعية الجديدة,جنوب شرقي,سكني,20.0,975,1000,975000
المزاحمية,حي الغطغط,جنوب,سكني,15.0,2000,60,120000
المدينة المنورة,حي العزيزية,جنوب,سكني,20.0,375,1100,412500
الزلفي,حي اليرموك,جنوب غربي,سكني أو تجاري,30.0,640,282,180480
بريدة,حي مشعل,شرق,سكني,15.0,450,950,427500
الرياض,حي الرمال,3 شوارع,سكني أو تجاري,46.0,13200,2800,36960000
الرياض,حي الخليج,3 شوارع,سكني,15.0,2560,2000,5120000
الرياض,حي المشاعل,3 شوارع,تجاري,30.0,14570,750,10927500
جازان,حي الروضة,4 شوارع,سكني أو تجاري,20.0,14840,505,7494200
المدينة المنورة,حي الدفاع,جنوب,تجاري,60.0,636,1950,1240200
عنيزة,حي الصفا,جنوب شرقي,سكني,30.0,878,274,240572
الخبر,حي اللؤلؤ,جنوب,سكني أو تجاري,30.0,2200,900,1980000
جدة,حي الصوارى,شمال,سكني أو تجاري,35.0,900,1667,1500300
بريدة,حي الشقة,غرب,سكني,15.0,439,240,105360
الرياض,حي عرقة,شرق,سكني,16.0,1200,2200,2640000
الرياض,حي الملز,4 شوارع,سكني أو تجاري,30.0,4980,4000,19920000
